dataset,scene,frame_index,uid,baseline_psnr,ours_psnr,delta_psnr,scene_delta_psnr
rpng,table_08,5720,1662925983066723347.png,18.76348304748535,21.782302856445312,3.018819808959961,1.692766843330734
rpng,table_05,2920,1662923865882245064.png,25.298337936401367,28.316925048828125,3.018587112426758,1.0883580475224477
rpng,table_08,7125,1662926029940403461.png,21.204137802124023,24.22115135192871,3.0170135498046875,1.692766843330734
rpng,table_03,2700,1662918552442415476.png,19.97277069091797,22.989601135253906,3.0168304443359375,1.7509620873292064
rpng,table_08,2050,1662925860675644159.png,24.36798858642578,27.383920669555664,3.015932083129883,1.692766843330734
rpng,table_07,1660,1662924210963506937.png,24.278257369995117,27.292896270751953,3.014638900756836,1.4890395942958747
rpng,table_02,805,1662917389682447672.png,20.674728393554688,23.6893367767334,3.014608383178711,2.1988808030951503
rpng,table_01,1940,1662915796033332109.png,24.09370231628418,27.106895446777344,3.013193130493164,1.652589399026212
rpng,table_07,3870,1662924284669085741.png,25.985607147216797,28.998641967773438,3.0130348205566406,1.4890395942958747
rpng,table_07,2095,1662924225474418402.png,26.6408748626709,29.65264892578125,3.0117740631103516,1.4890395942958747
rpng,table_07,3785,1662924281839389801.png,25.350360870361328,28.361133575439453,3.010772705078125,1.4890395942958747
rpng,table_05,2950,1662923866881041527.png,26.617904663085938,29.627700805664062,3.009796142578125,1.0883580475224477
rpng,table_08,955,1662925824158114195.png,23.654632568359375,26.664419174194336,3.009786605834961,1.692766843330734
rpng,table_08,315,1662925802823523760.png,21.959753036499023,24.969518661499023,3.009765625,1.692766843330734
rpng,table_02,2685,1662917452390276670.png,24.62090492248535,27.63017463684082,3.0092697143554688,2.1988808030951503
rpng,table_08,435,1662925806822918653.png,21.807167053222656,24.816173553466797,3.0090065002441406,1.692766843330734
rpng,table_07,1715,1662924212801336050.png,23.9815673828125,26.99026870727539,3.0087013244628906,1.4890395942958747
rpng,table_04,4930,1662919320127814054.png,21.55358123779297,24.561376571655273,3.0077953338623047,1.1251944239738059
rpng,table_08,7135,1662926030272630215.png,21.17915153503418,24.186933517456055,3.007781982421875,1.692766843330734
aria,aria301_305,2170,1524850691312.jpg,25.314485549926758,28.32219886779785,3.0077133178710938,3.185685308169788
rpng,table_02,2420,1662917443540251732.png,22.11358070373535,25.120433807373047,3.0068531036376953,2.1988808030951503
rpng,table_01,745,1662915756207020521.png,24.565204620361328,27.57136344909668,3.0061588287353516,1.652589399026212
rpng,table_02,2235,1662917437370667934.png,20.288408279418945,23.294267654418945,3.005859375,2.1988808030951503
rpng,table_01,1910,1662915795034350157.png,23.76957130432129,26.774681091308594,3.0051097869873047,1.652589399026212
rpng,table_03,1990,1662918528765955210.png,22.271940231323242,25.275747299194336,3.0038070678710938,1.7509620873292064
aria,aria301_305,1340,1483350692562.jpg,22.313518524169922,25.317039489746094,3.003520965576172,3.185685308169788
rpng,table_04,5510,1662919339475225687.png,22.5594482421875,25.562467575073242,3.003019332885742,1.1251944239738059
rpng,table_03,3450,1662918577445992231.png,21.130197525024414,24.132068634033203,3.001871109008789,1.7509620873292064
rpng,table_03,2915,1662918559617285013.png,23.180442810058594,26.17886734008789,2.998424530029297,1.7509620873292064
rpng,table_07,2090,1662924225307705402.png,26.774761199951172,29.770029067993164,2.995267868041992,1.4890395942958747
rpng,table_08,6070,1662925994746731043.png,20.90510368347168,23.899887084960938,2.994783401489258,1.692766843330734
rpng,table_03,1075,1662918498264563799.png,19.93494415283203,22.929035186767578,2.994091033935547,1.7509620873292064
rpng,table_01,2115,1662915801860595226.png,23.539371490478516,26.53325080871582,2.9938793182373047,1.652589399026212
rpng,table_04,3980,1662919288454491377.png,21.265085220336914,24.258834838867188,2.9937496185302734,1.1251944239738059
rpng,table_07,2965,1662924254488140106.png,25.215972900390625,28.209455490112305,2.9934825897216797,1.4890395942958747
rpng,table_02,375,1662917375359237194.png,21.012372970581055,24.005203247070312,2.992830276489258,2.1988808030951503
rpng,table_03,2920,1662918559783276081.png,23.32787322998047,26.31979751586914,2.991924285888672,1.7509620873292064
rpng,table_05,2900,1662923865216367722.png,25.233139038085938,28.224924087524414,2.9917850494384766,1.0883580475224477
rpng,table_08,4865,1662925954548662663.png,22.739030838012695,25.729206085205078,2.990175247192383,1.692766843330734
aria,aria301_305,2115,1522100694687.jpg,26.556190490722656,29.54603385925293,2.9898433685302734,3.185685308169788
aria,aria1253,515,3840519944050.jpg,26.347164154052734,29.336742401123047,2.9895782470703125,1.7197942733764648
rpng,table_03,4100,1662918599120183945.png,22.932472229003906,25.92081069946289,2.9883384704589844,1.7509620873292064
utmm,square-1,1275,1706737779362588644.png,17.20041847229004,20.188274383544922,2.987855911254883,1.0429959974171226
rpng,table_08,1970,1662925858008608580.png,21.770450592041016,24.75617218017578,2.9857215881347656,1.692766843330734
aria,aria301_305,2030,1517850687312.jpg,22.409963607788086,25.395662307739258,2.985698699951172,3.185685308169788
rpng,table_02,845,1662917391014622450.png,20.01767349243164,23.001890182495117,2.9842166900634766,2.1988808030951503
rpng,table_05,5670,1662923957599895716.png,26.010730743408203,28.992597579956055,2.9818668365478516,1.0883580475224477
rpng,table_08,250,1662925800658763647.png,22.719316482543945,25.701169967651367,2.981853485107422,1.692766843330734
rpng,table_04,3490,1662919272119187355.png,20.82736587524414,23.80901527404785,2.981649398803711,1.1251944239738059
aria,aria301_305,1825,1507600689850.jpg,21.03632926940918,24.017210006713867,2.9808807373046875,3.185685308169788
rpng,table_08,4860,1662925954381920576.png,23.126317977905273,26.10649299621582,2.980175018310547,1.692766843330734
rpng,table_01,780,1662915757375149727.png,24.78965950012207,27.769798278808594,2.9801387786865234,1.652589399026212
rpng,table_08,2025,1662925859841836214.png,21.624269485473633,24.601003646850586,2.976734161376953,1.692766843330734
rpng,table_03,6285,1662918671990700245.png,19.253402709960938,22.229320526123047,2.9759178161621094,1.7509620873292064
rpng,table_05,3435,1662923883054476261.png,23.889009475708008,26.864635467529297,2.975625991821289,1.0883580475224477
rpng,table_07,525,1662924173125352859.png,25.961238861083984,28.93665313720703,2.975414276123047,1.4890395942958747
rpng,table_08,7140,1662926030438708305.png,21.51149559020996,24.486085891723633,2.974590301513672,1.692766843330734
rpng,table_04,5035,1662919323630483627.png,21.981807708740234,24.95404815673828,2.972240447998047,1.1251944239738059
rpng,table_02,1940,1662917427533006191.png,21.096342086791992,24.06798553466797,2.9716434478759766,2.1988808030951503
rpng,table_08,5855,1662925987574939489.png,21.276348114013672,24.247638702392578,2.9712905883789062,1.692766843330734
