scenario,algorithm,sampler,admission,beta,kappa,seed,steps,batch_size,initial_views,final_views,target_final_views,mean_count,count_std,count_min,count_max,jain_index,oracle_jain_index,jain_regret,fairness_rmse_updates,fairness_nrmse,cohort_mid_first_ratio,admission_tracking_rmse,admission_tracking_nrmse,admission_max_lag,admission_max_overshoot,admission_rate_ratio,admission_pool_rate_cv,budget_violation,entropy_ratio,shuffle_kl_norm,duplicate_rate,temporal_w1,cohort_entropy,gradient_ratio_iid,gradient_ratio_smooth_order,gradient_ratio_abrupt_regime,gradient_ratio_mean,gradient_ratio_worst
base_stream,gate_r2_active_bonus3,active_bonus,gate_r2,,816,9881669,12000,32,32,46,46,260.8695652173913,83.30473359264406,14,364,0.9074618317772464,0.922030276861873,0.014568445084626624,25.219902423698425,0.09667629262417729,1.0802854594112399,0.0,0.0,-0.0,0.0,1.0,0.12222473716038361,0.0,0.9612277204760709,0.03877227952392916,0.0,0.03581232348440186,0.9849304891696067,1.0194089508179303,2.906830135110095,3.9547702139072474,2.627003099945091,3.9547702139072474
base_stream,gate_r2_active_bonus3,active_bonus,gate_r2,,816,9881670,12000,32,32,46,46,260.8695652173913,83.50490969571325,18,366,0.9070579539987574,0.922030276861873,0.014972322863115561,25.72429066922512,0.09860978089869629,1.0970614425645593,0.0,0.0,-0.0,0.0,1.0,0.12222473716038361,0.0,0.9579801735813852,0.04201982641861478,0.0,0.03676903148439052,0.9848605381293852,0.917107374235068,2.9604302529392545,3.827943722614323,2.568493783262882,3.827943722614323
base_stream,gate_r2_active_bonus3,active_bonus,gate_r2,,816,9881671,12000,32,32,46,46,260.8695652173913,82.50734056820068,15,364,0.9090645783567834,0.922030276861873,0.012965698505089551,24.845610232515664,0.09524150589131004,1.0857400722021662,0.0,0.0,-0.0,0.0,1.0,0.12222473716038361,0.0,0.9607962366317243,0.03920376336827564,0.0,0.036762344259893436,0.9855466444743489,0.9575734997692952,2.976014835021311,3.8189215144362008,2.584169949742269,3.8189215144362008
base_stream,gate_r2_active_bonus3,active_bonus,gate_r2,,816,9881672,12000,32,32,46,46,260.8695652173913,83.19349072980988,18,365,0.9076860128510186,0.922030276861873,0.014344264010854424,24.708738112870815,0.09471682943267146,1.0917186108637578,0.0,0.0,-0.0,0.0,1.0,0.12222473716038361,0.0,0.9607470350097427,0.03925296499025733,0.0,0.035198857259265005,0.9858133260887809,0.9481213148837244,2.7942390601193945,3.6655130004691614,2.4692911251574268,3.6655130004691614
base_stream,gate_r2_active_bonus3,active_bonus,gate_r2,,816,9881673,12000,32,32,46,46,260.8695652173913,82.92705246326886,18,365,0.9082221808140184,0.922030276861873,0.013808096047854601,26.40240437008984,0.10120921675201106,1.1310282074613285,0.0,0.0,-0.0,0.0,1.0,0.12222473716038361,0.0,0.958546438821792,0.04145356117820793,0.0,0.03797603036389503,0.9857835487767108,0.9892159794144794,3.085310311138501,4.128775445461109,2.7344339120046968,4.128775445461109
base_stream,gate_r2_active_bonus3,active_bonus,gate_r2,,816,9881674,12000,32,32,46,46,260.8695652173913,82.72941979617025,15,364,0.9086191842977278,0.922030276861873,0.013411092564145188,25.327421125522537,0.09708844764783639,1.1149321266968326,0.0,0.0,-0.0,0.0,1.0,0.12222473716038361,0.0,0.9580529476003109,0.04194705239968914,0.0,0.03742632534467842,0.984555972533696,0.9848666308916305,3.075615292659039,4.04239122462887,2.700957716059847,4.04239122462887
base_stream,gate_r2_active_bonus3,active_bonus,gate_r2,,816,9881675,12000,32,32,46,46,260.8695652173913,82.43406026100688,17,368,0.9092113795987059,0.922030276861873,0.012818897263167095,25.117982472289864,0.09628559947711114,1.0880281690140845,0.0,0.0,-0.0,0.0,1.0,0.12222473716038361,0.0,0.958374591533338,0.04162540846666192,0.0,0.03666119187105814,0.9856758135240878,1.0312663305454666,2.924414195096504,3.7051435610074344,2.553608028883135,3.7051435610074344
base_stream,gate_r2_active_bonus3,active_bonus,gate_r2,,816,9881676,12000,32,32,46,46,260.8695652173913,83.24443020815583,17,370,0.9075833810087723,0.922030276861873,0.01444689585310066,25.50191808642943,0.09775735266464615,1.0776014109347443,0.0,0.0,-0.0,0.0,1.0,0.12222473716038361,0.0,0.958341498650595,0.04165850134940499,0.0,0.036177420598182776,0.9849844333330848,0.9188588906373076,2.909329574233145,3.7907743733138175,2.5396542793947567,3.7907743733138175
base_stream,gate_r2_active_bonus3,active_bonus,gate_r2,,816,9881677,12000,32,32,46,46,260.8695652173913,82.63608241683694,18,364,0.9088064710252048,0.922030276861873,0.013223805836668157,24.441589644452876,0.09369276030373602,1.0664335664335665,0.0,0.0,-0.0,0.0,1.0,0.12222473716038361,0.0,0.9605908519721169,0.03940914802788304,0.0,0.03608405118505766,0.984929403058016,0.9511134339735633,2.938034220061557,3.757532275444393,2.548893309826504,3.757532275444393
base_stream,gate_r2_active_bonus3,active_bonus,gate_r2,,816,9881678,12000,32,32,46,46,260.8695652173913,83.00539759705839,16,366,0.9080646355362771,0.922030276861873,0.013965641325595857,25.074671093252302,0.09611957252413382,1.1233000906618313,0.0,0.0,-0.0,0.0,1.0,0.12222473716038361,0.0,0.9570889532862779,0.0429110467137221,0.0,0.03710324892174272,0.9853750707318694,0.9719082483867644,3.064073962084539,3.934154409439007,2.65671220663677,3.934154409439007
