kappa,beta,algorithm,scenarios,fairness_nrmse_worst_scenario,fairness_rmse_updates_worst_scenario,jain_min_scenario,jain_regret_worst_scenario,cohort_ratio_min_scenario,cohort_ratio_max_scenario,oracle_cohort_ratio_min_scenario,oracle_cohort_ratio_max_scenario,entropy_ratio_min_scenario,shuffle_kl_worst_scenario,gradient_ratio_mean_worst_scenario,gradient_ratio_field_worst_scenario,temporal_w1_ratio_worst_scenario,admission_tracking_nrmse_worst_scenario,admission_pool_rate_cv_worst_scenario,budget_violation_worst_scenario,constraint_violation_factor,meets_all_quality_constraints
128,1.0,ercb_beta_1,3,0.006927157874549434,0.8230286583623091,0.961631850785509,6.029607193377417e-05,0.9933645474333394,1.0062993729633651,0.9915966386554622,1.0,0.09613577784045968,0.9031271730222223,10.627124599140773,16.972261905794774,3.9198882958293195,0.0,0.05512260480850022,0.0,9.88185690426882,False
128,inf,ercb_beta_inf,3,0.0,0.0,0.9616623680358816,0.0,0.9966236156054874,1.0027918781725889,0.9915966386554622,1.0,0.060602072015559914,0.9393979279844401,10.710166531232492,17.089493528336877,3.9317809379101623,0.0,0.05512260480850022,0.0,15.676031666971424,False
192,0.0,ercb_beta_0,3,0.8278403342160118,147.53590114740803,0.5761492356326691,0.4011013421350648,0.2275713122412125,0.32038761113622666,0.9941520467836257,1.0,1.0,0.0,1.0467004362989751,1.0916371302070598,1.0336272864579172,0.0,0.07208860848478159,0.0,40.110134213506484,False
192,0.005,ercb_beta_0p005,3,0.5398383488785414,96.20881465162124,0.7467874056984612,0.23046317206927266,0.45378281496282397,0.506216206904472,0.9941520467836257,1.0,0.9755097969207895,0.023922006908256778,1.7599853187906436,2.411487780773639,1.3977219376907852,0.0,0.07208860848478159,0.0,23.046317206927267,False
192,0.01,ercb_beta_0p01,3,0.39659746449073097,70.68073624587285,0.8272680529642799,0.14512305122587105,0.595868657130526,0.6483112528830308,0.9941520467836257,1.0,0.9321160245884288,0.06704362807019419,2.8730159368209565,4.413457363161949,1.9142478804259715,0.0,0.07208860848478159,0.0,14.512305122587104,False
192,0.02,ercb_beta_0p02,3,0.24344344700912077,43.38596085311063,0.8909837894541337,0.06375000722760304,0.7524999736571745,0.8081954773106693,0.9941520467836257,1.0,0.8249037629434366,0.1732177204288154,4.8224292477518675,7.920634489831083,2.6322946086317023,0.0,0.07208860848478159,0.0,6.375000722760304,False
192,0.03,ercb_beta_0p03,3,0.16527241478377488,29.454489763445032,0.9145046533715478,0.030314151153895706,0.8317318198282339,0.8766917541427345,0.9941520467836257,1.0,0.710682577118564,0.2871728514857399,6.08356610451749,10.14203574903222,3.005064359112254,0.0,0.07208860848478159,0.0,3.3806785830107398,False
192,0.05,ercb_beta_0p05,3,0.0998347860992177,17.792338116692264,0.9263479658045892,0.011211249450116728,0.9071165966386554,0.9321481461167178,0.9941520467836257,1.0,0.5381102837423885,0.4605921586219873,7.3917512644309,12.340713996460039,3.3172810362402023,0.0,0.07208860848478159,0.0,4.113571332153346,False
192,0.075,ercb_beta_0p075,3,0.06639368989955623,11.83253879398032,0.9312646028330123,0.004939223679684801,0.9318761595547311,0.9696394686907022,0.9941520467836257,1.0,0.40972505659967784,0.5885409836223152,8.128434499830702,13.54415285738604,3.4660439492752437,0.0,0.07208860848478159,0.0,4.51471761912868,False
192,0.1,ercb_beta_0p1,3,0.04788385749384195,8.533756781080744,0.9325207483102643,0.0025845907345612706,0.9504742240623338,0.9852490421455938,0.9941520467836257,1.0,0.33198406970998173,0.666279797589441,8.553640262056172,14.26533101114599,3.542992233941999,0.0,0.07208860848478159,0.0,4.755110337048664,False
192,0.15,ercb_beta_0p15,3,0.030384931237815053,5.415136260204663,0.9333901401065112,0.0010618354871144986,0.9770014400110111,1.0089215686274509,0.9941520467836257,1.0,0.24447024170476275,0.7540895392762661,8.954527894869928,14.911583240206104,3.617991668095481,0.0,0.07208860848478159,0.0,4.970527746735368,False
192,0.2,ercb_beta_0p2,3,0.022089101271624823,3.936671513754919,0.9337285246497254,0.0005575538202179265,0.9834225756153717,1.0051752702677028,0.9941520467836257,1.0,0.19957470304623945,0.799290631303501,9.149829657900614,15.212478852820992,3.653450358353828,0.0,0.07208860848478159,0.0,5.0708262842736636,False
192,0.3,ercb_beta_0p3,3,0.014081273973037612,2.4407214371104167,0.9338948813176796,0.00022153266574332918,0.9907362947122862,1.007760314341847,0.9941520467836257,1.0,0.16214760354529362,0.8373007392868492,9.34928252585847,15.536043676698576,3.6840599403443606,0.0,0.07208860848478159,0.0,5.858859330811084,False
192,0.5,ercb_beta_0p5,3,0.008600403448262774,1.532745168997326,0.9339581897592106,9.308390809615874e-05,0.9941331717832681,1.0058783239323126,0.9941520467836257,1.0,0.13608703584897422,0.8633958455197545,9.463020959756829,15.712265670683554,3.7025705794794255,0.0,0.07208860848478159,0.0,6.980826601692499,False
192,1.0,ercb_beta_1,3,0.00474789814729997,0.8139253966799948,0.9339978800903151,2.7632520534232036e-05,0.9966168371361133,1.0020288099330723,0.9941520467836257,1.0,0.11505669502381233,0.8846836478317839,9.568037813066601,15.876265612724527,3.7162880356031294,0.0,0.07208860848478159,0.0,8.256798961619628,False
