path,allocated_bytes,size_bytes,reason
/home/intern/gs_floaterLab/context/experiments/exp75/evidence/zero_tail_runs/aria305_zerotail_rr_K8_r4_s1/point_cloud/iteration_10000/point_cloud.ply,90906624,90903499,non-latest iteration; excludes anytime_runs and shared_branch; needs retention review
/home/intern/gs_floaterLab/context/experiments/exp75/evidence/zero_tail_runs/aria305_zerotail_rr_K8_r4_s1/point_cloud/iteration_15000/point_cloud.ply,170192896,170189091,non-latest iteration; excludes anytime_runs and shared_branch; needs retention review
/home/intern/gs_floaterLab/context/experiments/exp75/evidence/zero_tail_runs/aria3F_zerotail_rr_K8_r4_s1/point_cloud/iteration_15000/point_cloud.ply,118992896,118990687,non-latest iteration; excludes anytime_runs and shared_branch; needs retention review
/home/intern/gs_floaterLab/context/experiments/exp75/evidence/zero_tail_runs/aria3F_zerotail_rr_K8_r4_s1/point_cloud/iteration_25000/point_cloud.ply,118992896,118990687,non-latest iteration; excludes anytime_runs and shared_branch; needs retention review
/home/intern/gs_floaterLab/context/experiments/exp75/evidence/zero_tail_runs/aria3F_zerotail_relative_half_odds4_K8_r4_s0/point_cloud/iteration_15000/point_cloud.ply,124989440,124988367,non-latest iteration; excludes anytime_runs and shared_branch; needs retention review
/home/intern/gs_floaterLab/context/experiments/exp75/evidence/zero_tail_runs/aria3F_zerotail_relative_half_odds4_K8_r4_s0/point_cloud/iteration_25000/point_cloud.ply,124989440,124988367,non-latest iteration; excludes anytime_runs and shared_branch; needs retention review
/home/intern/gs_floaterLab/context/experiments/exp75/evidence/zero_tail_runs/aria12F_zerotail_relative_half_odds2_K8_r4_s0/point_cloud/iteration_12000/point_cloud.ply,81813504,81810035,non-latest iteration; excludes anytime_runs and shared_branch; needs retention review
/home/intern/gs_floaterLab/context/experiments/exp75/evidence/zero_tail_runs/aria12F_zerotail_relative_half_odds2_K8_r4_s0/point_cloud/iteration_18000/point_cloud.ply,87052288,87050559,non-latest iteration; excludes anytime_runs and shared_branch; needs retention review
/home/intern/gs_floaterLab/context/experiments/exp75/evidence/zero_tail_runs/aria3F_zerotail_relative_half_odds4_K8_r4_s1/point_cloud/iteration_15000/point_cloud.ply,126271488,126271415,non-latest iteration; excludes anytime_runs and shared_branch; needs retention review
/home/intern/gs_floaterLab/context/experiments/exp75/evidence/zero_tail_runs/aria3F_zerotail_relative_half_odds4_K8_r4_s1/point_cloud/iteration_25000/point_cloud.ply,126271488,126271415,non-latest iteration; excludes anytime_runs and shared_branch; needs retention review
/home/intern/gs_floaterLab/context/experiments/exp75/evidence/zero_tail_runs/aria3F_zerotail_relative_half_odds3_K8_r4_s1/point_cloud/iteration_15000/point_cloud.ply,126849024,126846655,non-latest iteration; excludes anytime_runs and shared_branch; needs retention review
/home/intern/gs_floaterLab/context/experiments/exp75/evidence/zero_tail_runs/aria3F_zerotail_relative_half_odds3_K8_r4_s1/point_cloud/iteration_25000/point_cloud.ply,126849024,126846655,non-latest iteration; excludes anytime_runs and shared_branch; needs retention review
/home/intern/gs_floaterLab/context/experiments/exp75/evidence/zero_tail_runs/aria305_zerotail_two_pass_odds2_K32_r4_s0/point_cloud/iteration_10000/point_cloud.ply,93437952,93436599,non-latest iteration; excludes anytime_runs and shared_branch; needs retention review
/home/intern/gs_floaterLab/context/experiments/exp75/evidence/zero_tail_runs/aria305_zerotail_two_pass_odds2_K32_r4_s0/point_cloud/iteration_15000/point_cloud.ply,171655168,171651427,non-latest iteration; excludes anytime_runs and shared_branch; needs retention review
/home/intern/gs_floaterLab/context/experiments/exp75/evidence/zero_tail_runs/aria305_zerotail_relative_half_odds3_K8_r4_s1/point_cloud/iteration_10000/point_cloud.ply,95944704,95941375,non-latest iteration; excludes anytime_runs and shared_branch; needs retention review
/home/intern/gs_floaterLab/context/experiments/exp75/evidence/zero_tail_runs/aria305_zerotail_relative_half_odds3_K8_r4_s1/point_cloud/iteration_15000/point_cloud.ply,177532928,177529971,non-latest iteration; excludes anytime_runs and shared_branch; needs retention review
/home/intern/gs_floaterLab/context/experiments/exp75/evidence/zero_tail_runs/aria12F_zerotail_relative_half_odds3_K8_r4_s0/point_cloud/iteration_12000/point_cloud.ply,82739200,82737427,non-latest iteration; excludes anytime_runs and shared_branch; needs retention review
/home/intern/gs_floaterLab/context/experiments/exp75/evidence/zero_tail_runs/aria12F_zerotail_relative_half_odds3_K8_r4_s0/point_cloud/iteration_18000/point_cloud.ply,86446080,86444075,non-latest iteration; excludes anytime_runs and shared_branch; needs retention review
/home/intern/gs_floaterLab/context/experiments/exp75/evidence/zero_tail_runs/aria1253_zerotail_rr_K8_r4_s1/point_cloud/iteration_4000/point_cloud.ply,72704000,72701679,non-latest iteration; excludes anytime_runs and shared_branch; needs retention review
/home/intern/gs_floaterLab/context/experiments/exp75/evidence/zero_tail_runs/aria1253_zerotail_rr_K8_r4_s1/point_cloud/iteration_6500/point_cloud.ply,128786432,128783491,non-latest iteration; excludes anytime_runs and shared_branch; needs retention review
/home/intern/gs_floaterLab/context/experiments/exp75/evidence/zero_tail_runs/aria12F_zerotail_relative_half_odds4_K8_r4_s0/point_cloud/iteration_12000/point_cloud.ply,84086784,84084715,non-latest iteration; excludes anytime_runs and shared_branch; needs retention review
/home/intern/gs_floaterLab/context/experiments/exp75/evidence/zero_tail_runs/aria12F_zerotail_relative_half_odds4_K8_r4_s0/point_cloud/iteration_18000/point_cloud.ply,89440256,89439411,non-latest iteration; excludes anytime_runs and shared_branch; needs retention review
/home/intern/gs_floaterLab/context/experiments/exp75/evidence/zero_tail_runs/aria3F_zerotail_relative_half_odds3_K8_r4_s0/point_cloud/iteration_15000/point_cloud.ply,125456384,125452647,non-latest iteration; excludes anytime_runs and shared_branch; needs retention review
/home/intern/gs_floaterLab/context/experiments/exp75/evidence/zero_tail_runs/aria3F_zerotail_relative_half_odds3_K8_r4_s0/point_cloud/iteration_25000/point_cloud.ply,125456384,125452647,non-latest iteration; excludes anytime_runs and shared_branch; needs retention review
/home/intern/gs_floaterLab/context/experiments/exp75/evidence/zero_tail_runs/aria3F_zerotail_rr_K32_r4_s0/point_cloud/iteration_15000/point_cloud.ply,122548224,122546955,non-latest iteration; excludes anytime_runs and shared_branch; needs retention review
/home/intern/gs_floaterLab/context/experiments/exp75/evidence/zero_tail_runs/aria3F_zerotail_rr_K32_r4_s0/point_cloud/iteration_25000/point_cloud.ply,122548224,122546955,non-latest iteration; excludes anytime_runs and shared_branch; needs retention review
/home/intern/gs_floaterLab/context/experiments/exp75/evidence/zero_tail_runs/aria305_zerotail_relative_half_odds2_K8_r4_s0/point_cloud/iteration_10000/point_cloud.ply,94474240,94474075,non-latest iteration; excludes anytime_runs and shared_branch; needs retention review
/home/intern/gs_floaterLab/context/experiments/exp75/evidence/zero_tail_runs/aria305_zerotail_relative_half_odds2_K8_r4_s0/point_cloud/iteration_15000/point_cloud.ply,170553344,170551463,non-latest iteration; excludes anytime_runs and shared_branch; needs retention review
/home/intern/gs_floaterLab/context/experiments/exp75/evidence/zero_tail_runs/aria1253_zerotail_relative_half_odds4_K8_r4_s1/point_cloud/iteration_4000/point_cloud.ply,76496896,76493299,non-latest iteration; excludes anytime_runs and shared_branch; needs retention review
/home/intern/gs_floaterLab/context/experiments/exp75/evidence/zero_tail_runs/aria1253_zerotail_relative_half_odds4_K8_r4_s1/point_cloud/iteration_6500/point_cloud.ply,122630144,122627255,non-latest iteration; excludes anytime_runs and shared_branch; needs retention review
/home/intern/gs_floaterLab/context/experiments/exp75/evidence/zero_tail_runs/aria1253_zerotail_rr_K8_r4_s0/point_cloud/iteration_4000/point_cloud.ply,71413760,71413375,non-latest iteration; excludes anytime_runs and shared_branch; needs retention review
/home/intern/gs_floaterLab/context/experiments/exp75/evidence/zero_tail_runs/aria1253_zerotail_rr_K8_r4_s0/point_cloud/iteration_6500/point_cloud.ply,126500864,126497715,non-latest iteration; excludes anytime_runs and shared_branch; needs retention review
/home/intern/gs_floaterLab/context/experiments/exp75/evidence/zero_tail_runs/aria12F_zerotail_rr_K8_r4_s1/point_cloud/iteration_12000/point_cloud.ply,79175680,79173859,non-latest iteration; excludes anytime_runs and shared_branch; needs retention review
